src/components/accounting/statutory/StatutoryAccountingModule.tsx(66,97): error TS1005: ';' expected.
src/components/accounting/statutory/StatutoryAccountingModule.tsx(66,104): error TS1005: ';' expected.
src/components/accounting/statutory/StatutoryAccountingModule.tsx(66,118): error TS1005: ';' expected.
src/components/accounting/statutory/StatutoryAccountingModule.tsx(66,141): error TS1005: ';' expected.
src/components/accounting/statutory/StatutoryAccountingModule.tsx(66,163): error TS1005: ';' expected.
src/components/accounting/statutory/StatutoryAccountingModule.tsx(66,186): error TS1005: ';' expected.
src/components/accounting/statutory/StatutoryAccountingModule.tsx(66,206): error TS1005: ';' expected.
src/components/accounting/statutory/StatutoryAccountingModule.tsx(72,37): error TS1005: ';' expected.
src/components/accounting/statutory/StatutoryAccountingModule.tsx(72,54): error TS1005: ';' expected.
src/components/accounting/statutory/StatutoryAccountingModule.tsx(72,69): error TS1005: ';' expected.
src/components/accounting/statutory/StatutoryAccountingModule.tsx(72,90): error TS1005: ';' expected.
src/components/accounting/statutory/StatutoryAccountingModule.tsx(72,97): error TS1005: ';' expected.
src/components/accounting/statutory/StatutoryAccountingModule.tsx(72,104): error TS1005: ';' expected.
src/components/accounting/statutory/StatutoryAccountingModule.tsx(72,118): error TS1005: ';' expected.
src/components/accounting/statutory/StatutoryAccountingModule.tsx(72,141): error TS1005: ';' expected.
src/components/accounting/statutory/StatutoryAccountingModule.tsx(72,163): error TS1005: ';' expected.
src/components/accounting/statutory/StatutoryAccountingModule.tsx(72,186): error TS1005: ';' expected.
src/components/accounting/statutory/StatutoryAccountingModule.tsx(72,206): error TS1005: ';' expected.
src/components/system/VersionDisplay.tsx(29,100): error TS1127: Invalid character.
src/components/system/VersionDisplay.tsx(29,268): error TS1381: Unexpected token. Did you mean `{'}'}` or `&rbrace;`?
src/components/system/VersionDisplay.tsx(29,270): error TS1381: Unexpected token. Did you mean `{'}'}` or `&rbrace;`?
src/components/system/VersionDisplay.tsx(37,11): error TS1382: Unexpected token. Did you mean `{'>'}` or `&gt;`?
src/components/system/VersionDisplay.tsx(40,13): error TS17002: Expected corresponding JSX closing tag for 'DialogTrigger'.
src/components/system/VersionDisplay.tsx(41,11): error TS17002: Expected corresponding JSX closing tag for 'Dialog'.
src/components/system/VersionDisplay.tsx(186,9): error TS17015: Expected corresponding closing tag for JSX fragment.
src/components/system/VersionDisplay.tsx(195,5): error TS1128: Declaration or statement expected.
src/components/system/VersionDisplay.tsx(195,7): error TS1109: Expression expected.
src/components/system/VersionDisplay.tsx(196,3): error TS1109: Expression expected.
